ID,Compound Name,Formula,ESI_Ion_Mode_Plus,ESI_Calcm/z_Plus,ESI_Fragment_ions(m/z)_Plus,ESI_Ion_Mode_Minus,ESI_Calcm/z_Minus,ESI_Fragment_ions(m/z)_Minus,CAS,SMILES,Compound Class,Compound Source,Note,Ref
1,Bornyl acetate,C12H20O2,[M+H]+,197.29,137,,,181,76-49-3,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,Monoterpene,AMOMI FRUCTUS,fruit,
2,Costunolide,C15H20O2,[M+H]+,233.1598,"189, 159, 145, 175",,,,553-21-9,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,Sesquiterpene category,Aucklandia lappa Decne,root,2
3,Berberine,C20H18N4O,[M]+,336.1226,"320.306.292,278",,,,2086-83-1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,Isoquinoline Alkaloids,COPTIDIS RHIZOMA,root,3
4,Coptisine,C19H13NO4,[M]+,320.0921,290262,,,,3486-66-6,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,Isoquinoline Alkaloids,COPTIDIS RHIZOMA,root,4
5,Palmatine,C21H21NO4,[M+H]+,354.42,336320,[M-H]-,305.1596,245.227,3486-67-7,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,Isoquinoline Alkaloids,COPTIDIS RHIZOMA,root,5
6,6-Gingerol,C17H26O4,,,,[M-H]-,469.3558,465405,23513-14-6,CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O,,ZINGIBERIS RHIZOMA RECENS,root,1
7,Pachymic acid,C33H52O5,,,,,,,29070-92-6,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)OC(=O)C)C)C)C)O)C(=O)O,Lanostane-type triterpenoid,Poria,Sclerotia,6
8,Psoralen,C11H6O3,[M+H]+,187.0393,"131, 115, 103, 177",[M-H]-,229.1177,245,66-97-7,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,Furanocumarins species,Psoralea Fruit,,7
9,ⅠAtractylenolide Ⅰ,C15H20O4,,,,[M-H]-,805.3856,561,73069-13-3,CC1=C2C[C@H]3C(=C)CCC[C@@]3(C[C@@]2(OC1=O)O)C,Lactones,Fried Atractylodes,root,
10,Glycyrrhizic acid,C42H62O16,,,,[M-H]-,461.0717,301,1405-86-3,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,Triterpene saponins,Honey-fried Liquorice Root,root,8
11,Hyperoside,C21H20O12,,,,[M-H]-,1031.3356,1065.763.721,482-36-0,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,Triterpene saponins,Cuscuta Seed,,
12,Punicalagin,C34H30O20,,,,,,,65995-63-3,C1C(C(OC(=O)C2=CC(=C(C(=C2C3=C(C(=C4C5=C3C(=O)OC6=C(C(=C(C7=C(C(=C(C=C7C(=O)O1)O)O)O)C(=C56)C(=O)O4)O)O)O)O)O)O)O)C8C(OC(=O)C9=CC(=C(C(=C9C1=C(C(=C(C=C1C(=O)O8)O)O)O)O)O)O)C=O)O,Tannins,Pomegranate Rind,pericarp,25
13,Formononetin,C15H12O4,[M+H]+,285.1166,181,[M-H]-,223.0489,"225, 223, 240",485-72-3,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,Isoflavone compounds,Suberect Spatholobus Stem,rattan,9
14,Aloe - emodin,C15H10O5,,,,[M-H]-,307.1056,425,481-72-1（,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,Anthraquinones,Wine-processed Rhubarb,root,10
15,Inulicin,C15H20O3,,,,,,,480-10-4,CC1=C([C@H]([C@H]2[C@@H](C1)OC(=O)C2=C)O)[C@@H](C)CCCOC(=O)C,,Inula Flower,Flower,
16,Patchouli alcohol,C15H26O,[M+H]+,223.1626,195,[M+HCOO]-,479.2206,"525, 479, 449",5986-55-0,C[C@H]1CC[C@@]2([C@@]3([C@H]1C[C@H](C2(C)C)CC3)C)O,Monoterpenoids,Patchouli Herb,Dried aerial parts,11
17,Paeoniflorin,C23H26O10,,,,[M-H]-,193.0506,"178,149,133,106,89",23180-57-6,C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,Monoterpenoids,White Peony Root,Dried root,12
18,Ferulic acid,C10H10O4,,,,[M-H]-,445.0585,"269, 175, 113",1135-24-6,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Phenylpropanoids compounds,Chinese Angelica,Dried root,5
19,Baicalin,C21H18O11,,,,,,,21967-41-9,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,Flavonoids,Baikal Skullcap Root,Dried root,13
20,Cinnamaldehyde,C9H8O,[M+H]+,135.0632,104,,,,104-55-2,C1=CC=C(C=C1)/C=C/C=O,Aldehydes,Cortex Cinnamomi,Stem bark,14
21,Arecoline,C8H13NO2,[M+H]+,154.0982,145.13,[M-H]-,167.0096,125,53-18-9,CN1CCC=C(C1)C(=O)OC,Alkaloids,Semen Arecae,Seed,15
22,Gallic acid,C7H6O5,,,,[M-H]-,879.4704,883837,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,Phenolic acids,Radix Sanguisorbae,Root,16
23,Pulsatilla saponin B4,C57H92O26,,,,[M-H]-,353.0717,191,84605-10-5,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,Saponins,Radix Pulsatillae,Root,
24,Chlorogenic acid,C16H18O9,,,,[M-H]-,461.0717,301,327-97-9,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Phenolic acids,Flos Lonicerae,Flower,17
25,Cynaroside,C21H20O11,,,,,,,1268798,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,Flavonoids,Flos Lonicerae,Flower,18
26,Raffinose,C18H32O16,[M+H]+,433.1887,,,,,512-69-6,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,Carbohydrates,Semen Nelumbinis,Seed,25
27,Diosgenin,C27H42O3,[M+H]+,413.3077,"397, 271, 253",,,,512-04-9,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,Steroids,Rhizoma Dioscoreae,Rhizome,19
28,Ginsenosides,C42H72O14,[M+H]+,1131.5837,,[M-H]-,879.4704,891845,22427-39-0,CC(=CCCC(C)([C@H]1CC[C@@]2(C1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C,Triterpene saponins,Ginseng,Root of Ginseng,20
